epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,271.035,1.45195,2.47552,0.97512,0.44167,0.2709,0.23647,0.17561,1.44485,2.67913,1.02199,0.0007228,0.0007228,0.0007228
44,277.257,1.43671,2.44212,0.97664,0.437,0.25556,0.23198,0.17576,1.52178,2.73035,1.06239,0.0007162,0.0007162,0.0007162
45,283.267,1.48481,2.40179,0.99701,0.33236,0.30329,0.24675,0.17586,1.56576,2.64165,1.0431,0.0007096,0.0007096,0.0007096
46,289.367,1.43473,2.40477,0.97625,0.38299,0.29101,0.24955,0.18592,1.51461,2.63763,1.04066,0.000703,0.000703,0.000703
47,295.321,1.41657,2.3678,0.97748,0.41834,0.30178,0.2436,0.1818,1.44328,2.62669,1.03551,0.0006964,0.0006964,0.0006964
48,301.345,1.45781,2.48418,0.97668,0.48448,0.27367,0.25122,0.17755,1.60642,2.6666,1.06505,0.0006898,0.0006898,0.0006898
49,307.563,1.39597,2.33285,0.95508,0.48068,0.25699,0.26168,0.19977,1.40593,2.62533,1.00695,0.0006832,0.0006832,0.0006832
50,313.615,1.46636,2.48897,0.98713,0.38505,0.34794,0.25477,0.1878,1.49281,2.62053,1.0483,0.0006766,0.0006766,0.0006766
51,319.492,1.31726,2.27065,0.97256,0.36787,0.29778,0.25021,0.18604,1.61564,2.74072,1.09583,0.00067,0.00067,0.00067
52,325.295,1.42828,2.39589,0.98645,0.49479,0.24225,0.25771,0.18026,1.60359,2.77899,1.07652,0.0006634,0.0006634,0.0006634
53,331.196,1.37308,2.29064,0.97624,0.41796,0.32803,0.2893,0.19241,1.67691,2.67756,1.07504,0.0006568,0.0006568,0.0006568
54,337.371,1.40887,2.23422,0.96027,0.51803,0.28825,0.28549,0.21207,1.38574,2.53043,1.01396,0.0006502,0.0006502,0.0006502
55,343.322,1.40356,2.32874,0.95808,0.41624,0.33682,0.28899,0.22587,1.40635,2.6116,1.02671,0.0006436,0.0006436,0.0006436
56,349.641,1.3649,2.24524,0.96595,0.347,0.30034,0.25536,0.19807,1.37529,2.55091,1.02709,0.000637,0.000637,0.000637
57,355.642,1.40848,2.3666,0.97538,0.44325,0.29353,0.26648,0.19414,1.53547,2.53981,1.0532,0.0006304,0.0006304,0.0006304
58,361.624,1.3673,2.23166,0.97229,0.46417,0.31973,0.28675,0.20603,1.477,2.48522,1.04597,0.0006238,0.0006238,0.0006238
59,367.633,1.34687,2.15632,0.96242,0.479,0.30819,0.2835,0.20672,1.43327,2.52009,1.01916,0.0006172,0.0006172,0.0006172
60,373.72,1.34507,2.18186,0.95011,0.45337,0.34332,0.29384,0.22162,1.42223,2.49444,1.00312,0.0006106,0.0006106,0.0006106
61,379.589,1.33959,2.16938,0.95242,0.50931,0.32893,0.29964,0.20927,1.60499,2.52897,1.05414,0.000604,0.000604,0.000604
62,385.566,1.37813,2.26567,0.98804,0.41933,0.32076,0.2948,0.21454,1.46882,2.51633,1.0406,0.0005974,0.0005974,0.0005974
63,391.652,1.26701,1.98401,0.94549,0.53723,0.31148,0.32233,0.24431,1.38845,2.40957,1.02076,0.0005908,0.0005908,0.0005908
64,398.044,1.38251,2.20131,0.98941,0.4271,0.35372,0.33198,0.23976,1.49358,2.55338,1.04049,0.0005842,0.0005842,0.0005842
65,404.084,1.39486,2.21033,0.99075,0.50822,0.34766,0.3323,0.24994,1.3853,2.46178,1.0181,0.0005776,0.0005776,0.0005776
66,410.214,1.36476,2.06873,0.94517,0.46704,0.36533,0.33919,0.25656,1.32926,2.33661,1.00765,0.000571,0.000571,0.000571
67,416.41,1.30928,2.01374,0.96601,0.41907,0.37664,0.32752,0.25863,1.28908,2.43357,0.99639,0.0005644,0.0005644,0.0005644
68,422.673,1.38916,2.09359,0.9628,0.60187,0.33379,0.3471,0.25683,1.40307,2.41912,1.02343,0.0005578,0.0005578,0.0005578
69,428.74,1.38042,2.09378,0.96337,0.50947,0.36107,0.35072,0.25192,1.40176,2.37714,1.00201,0.0005512,0.0005512,0.0005512
70,434.694,1.33816,2.06455,0.95102,0.54773,0.34029,0.3467,0.26243,1.34705,2.37081,1.01625,0.0005446,0.0005446,0.0005446
71,440.737,1.3267,2.08314,0.962,0.55707,0.30206,0.33295,0.25825,1.2924,2.33392,1.0046,0.000538,0.000538,0.000538
72,446.968,1.32151,2.02649,0.95465,0.50325,0.35687,0.35204,0.27331,1.30099,2.39262,1.01133,0.0005314,0.0005314,0.0005314
73,453.072,1.29529,1.96381,0.96209,0.51016,0.36212,0.3543,0.26721,1.36296,2.33028,0.99737,0.0005248,0.0005248,0.0005248
74,459.185,1.29597,1.9176,0.94312,0.54514,0.34843,0.35354,0.27116,1.38351,2.30146,1.01461,0.0005182,0.0005182,0.0005182
75,465.197,1.36879,2.08273,0.9598,0.53077,0.34156,0.35258,0.27121,1.30655,2.35429,0.99919,0.0005116,0.0005116,0.0005116
76,471.365,1.30025,1.97691,0.94594,0.59073,0.38247,0.37313,0.29164,1.24991,2.26439,0.9827,0.000505,0.000505,0.000505
77,477.373,1.31129,1.98513,0.95065,0.59439,0.35233,0.35324,0.27362,1.30284,2.35299,1.00774,0.0004984,0.0004984,0.0004984
78,483.217,1.31966,2.06925,0.96569,0.6181,0.35205,0.36769,0.28169,1.33729,2.31797,1.00918,0.0004918,0.0004918,0.0004918
79,489.2,1.29158,1.93703,0.95981,0.61979,0.33763,0.37206,0.28625,1.2865,2.24497,0.98552,0.0004852,0.0004852,0.0004852
80,495.309,1.26623,1.83171,0.94633,0.59233,0.34223,0.36067,0.28034,1.26242,2.25063,0.98775,0.0004786,0.0004786,0.0004786
81,501.347,1.25751,1.93879,0.95127,0.5618,0.35731,0.36304,0.28217,1.22709,2.27156,0.97567,0.000472,0.000472,0.000472
82,507.456,1.30155,1.99646,0.93688,0.58207,0.35792,0.37747,0.29633,1.25837,2.22025,0.98565,0.0004654,0.0004654,0.0004654
